id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung
10005,11199,MOOSLANDL,14.761666,47.647499,530.0,2005-09-15,2100-12-31,STMK,nein,ja
10111,11161,PRAEBICHL,14.954166,47.521667,1215.0,2000-09-26,2100-12-31,STMK,ja,ja
10412,11180,RAX/SEILBAHNBERGSTATION,15.778611,47.717499,1547.0,1994-10-20,2100-12-31,NOE,ja,ja
10415,11383,SEMMERING,15.828333,47.633335,988.0,1992-08-29,2100-12-31,NOE,ja,ja
10500,11185,MOENICHKIRCHEN,16.033333,47.511112,991.0,1992-11-11,2100-12-31,NOE,ja,ja
10510,11380,REICHENAU/RAX,15.836945,47.699722,488.0,1992-08-29,2100-12-31,NOE,ja,ja
10531,11381,POTTSCHACH,16.008055,47.700832,416.0,2007-08-03,2100-12-31,NOE,ja,ja
10550,11384,HIRSCHENKOGEL,15.833333,47.623333,1318.0,1994-06-13,2100-12-31,NOE,ja,ja
10607,11188,ASPANG,16.101389,47.575001,454.0,2007-11-27,2100-12-31,NOE,ja,ja
10710,11189,MATTERSBURG,16.389166,47.744999,283.9,2007-11-27,2100-12-31,BGL,ja,ja
11104,11101,BREGENZ,9.746111,47.499168,424.0,1993-06-15,2100-12-31,VBG,ja,ja
11106,11104,FRAXERN,9.674444,47.314167,807.0,2003-07-16,2100-12-31,VBG,ja,ja
11112,11302,DORNBIRN,9.725555,47.432499,407.0,1993-06-16,2100-12-31,VBG,ja,ja
11115,11105,FELDKIRCH,9.609722,47.271111,438.4,1994-04-18,2100-12-31,VBG,ja,ja
11135,11301,ALBERSCHWENDE,9.848611,47.4575,715.0,1996-01-16,2100-12-31,VBG,ja,ja
11146,11299,ROHRSPITZ,9.63,47.497223,395.0,2008-07-23,2100-12-31,VBG,nein,ja
11203,11303,SCHOPPERNAU,10.017777,47.31139,839.0,2007-08-10,2100-12-31,VBG,ja,ja
11301,11306,SCHROECKEN,10.086111,47.261665,1244.0,2007-11-27,2100-12-31,VBG,ja,ja
11305,11308,WARTH,10.186111,47.255833,1478.0,1993-06-15,2100-12-31,VBG,ja,ja
11311,11187,MITTELBERG,10.1525,47.323334,1204.0,2014-07-16,2100-12-31,VBG,ja,ja
11402,11315,HOLZGAU,10.338611,47.2575,1092.0,2007-08-10,2100-12-31,TIR,ja,ja
11410,11111,TANNHEIM,10.505834,47.500278,1100.0,2008-09-01,2100-12-31,TIR,ja,ja
11505,11314,REUTTE,10.715278,47.494446,841.8,1994-12-06,2100-12-31,TIR,ja,ja
11603,11118,EHRWALD,10.92,47.404167,982.0,2007-10-18,2100-12-31,TIR,ja,ja
11706,11119,SEEFELD,11.175555,47.324722,1181.9,1997-06-11,2100-12-31,TIR,ja,ja
11803,11320,INNSBRUCK-UNIV.,11.384167,47.259998,578.0,2009-07-14,2100-12-31,TIR,ja,ja
11804,11120,INNSBRUCK-FLUGPLATZ,11.356667,47.259998,578.0,1992-11-24,2100-12-31,TIR,ja,ja
11901,11325,JENBACH,11.758056,47.388889,530.0,1995-01-19,2021-10-22,TIR,ja,ja
12015,11125,ALPBACH,11.940278,47.396946,929.0,2007-11-27,2100-12-31,TIR,ja,ja
12202,11336,KITZBUEHEL,12.394167,47.447224,746.1,2007-01-08,2014-03-25,TIR,ja,ja
12203,11279,KITZBUEHEL,12.389167,47.44389,772.0,2014-11-24,2100-12-31,TIR,ja,ja
12215,11135,HAHNENKAMM-EHRENBACHHOEHE,12.359167,47.418335,1793.8,1993-02-17,2100-12-31,TIR,ja,ja
12302,11366,SAALBACH,12.648334,47.387779,975.0,2008-09-30,2100-12-31,SAL,ja,ja
12311,11340,SCHMITTENHOEHE,12.738055,47.328609,1956.0,1992-08-29,2100-12-31,SAL,ja,ja
13250,11174,ST.MICHAEL B. LEOBEN,15.005,47.335556,570.0,1992-08-29,2013-05-15,STMK,ja,ja
13305,11370,KAPFENBERG,15.298333,47.445835,504.7,1997-02-17,2018-05-23,STMK,ja,ja
13308,11249,FROHNLEITEN,15.315,47.255554,421.0,2008-09-11,2100-12-31,STMK,ja,ja
13805,11397,HIRSCHENSTEIN,16.379168,47.345276,858.9,2007-02-14,2014-09-18,BGL,ja,ja
13906,11393,LUTZMANNSBURG,16.660555,47.464169,201.0,1995-10-03,2000-05-31,BGL,ja,ja
14104,11102,BLUDENZ,9.823611,47.154167,564.8,2007-08-03,2015-09-11,VBG,nein,ja
14631,11117,UMHAUSEN,10.928889,47.139168,1035.0,2003-06-01,2100-12-31,TIR,nein,ja
14801,11128,BRENNER,11.513333,47.005554,1445.0,1992-12-16,2008-02-01,TIR,ja,ja
14812,11126,PATSCHERKOFEL,11.462222,47.208889,2251.0,1993-08-25,2100-12-31,TIR,ja,ja
14822,11123,RINN,11.503889,47.249168,924.0,2007-11-27,2100-12-31,TIR,ja,ja
14825,11326,SCHMIRN,11.580277,47.087223,1464.0,2004-11-03,2100-12-31,TIR,nein,ja
15001,11322,MAYRHOFEN,11.850555,47.159443,643.0,1992-11-21,2007-09-06,TIR,ja,ja
15430,11344,KOLM SAIGURN,12.984722,47.069443,1626.0,2007-10-18,2100-12-31,SAL,ja,ja
15610,11149,OBERTAUERN,13.559722,47.24889,1772.0,1994-12-14,2100-12-31,SAL,ja,ja
15715,11349,KATSCHBERG,13.614722,47.060555,1635.0,1998-11-10,2100-12-31,KNT,ja,ja
16015,11220,NEUMARKT,14.424723,47.069721,869.0,1993-07-29,2100-12-31,STMK,ja,ja
16400,11240,GRAZ-FLUGHAFEN,15.44,46.980556,340.0,2010-11-23,2100-12-31,STMK,ja,ja
16412,11290,GRAZ-UNIVERSITAET,15.448889,47.077778,367.0,1992-08-29,2100-12-31,STMK,ja,ja
16413,11238,GRAZ/STRASSGANG,15.410277,47.046112,357.0,2007-11-27,2100-12-31,STMK,ja,ja
16421,11241,SCHOECKL,15.466389,47.198612,1443.0,1993-02-16,2100-12-31,STMK,ja,ja
16501,11247,GLEISDORF,15.708055,47.115555,377.0,2007-07-25,2100-12-31,STMK,nein,ja
16521,11243,WEIZ,15.634444,47.218334,465.7,2007-07-25,2013-05-28,STMK,nein,ja
16601,11246,FUERSTENFELD,16.080833,47.030834,271.0,2007-07-25,2100-12-31,STMK,ja,ja
16702,11198,GUESSING,16.321945,47.0625,215.3,2008-07-08,2100-12-31,BGL,ja,ja
16711,11392,WOERTERBERG,16.096666,47.226112,404.0,2007-07-25,2100-12-31,BGL,ja,ja
16800,11192,KLEINZICKEN,16.335556,47.2075,265.0,1994-04-07,2100-12-31,BGL,ja,ja
17002,11312,GALTUER,10.185555,46.968056,1587.0,1997-02-13,2100-12-31,TIR,ja,ja
17102,11113,NAUDERS,10.496944,46.891109,1330.2,2004-04-27,2100-12-31,TIR,nein,ja
17301,11127,OBERGURGL,11.024445,46.866943,1941.0,1999-01-04,2100-12-31,TIR,ja,ja
17315,11316,PITZTALER GLETSCHER,10.879167,46.926945,2863.9,1993-12-09,2100-12-31,TIR,ja,ja
17320,11318,BRUNNENKOGEL,10.861667,46.912777,3437.0,2002-01-28,2100-12-31,TIR,nein,nein
17701,11300,ST.JAKOB/DEF.,12.353889,46.916943,1383.0,2007-07-25,2100-12-31,TIR,ja,ja
17901,11204,LIENZ,12.806389,46.825554,661.4,1992-08-29,2100-12-31,TIR,ja,ja
18001,11206,DOELLACH,12.9025,46.958057,1071.0,2004-05-25,2100-12-31,KNT,ja,ja
18122,11262,OBERVELLACH,13.194445,46.935276,688.0,2014-07-09,2100-12-31,KNT,ja,ja
18402,11222,FLATTNITZ,14.036111,46.940834,1437.0,2007-07-25,2100-12-31,KNT,nein,ja
18905,11285,DEUTSCHLANDSBERG,15.228889,46.821667,354.0,1994-10-24,2001-04-30,STMK,ja,nein
19204,11244,BAD GLEICHENBERG,15.903611,46.872223,269.0,2003-04-08,2100-12-31,STMK,ja,ja
19205,11298,FELDBACH,15.879723,46.948891,323.0,1999-08-16,2100-12-31,STMK,ja,ja
19911,11259,HERMAGOR,13.492222,46.609722,562.0,2008-07-23,2100-12-31,KNT,ja,ja
20002,11218,BAD BLEIBERG,13.684444,46.625278,908.7,2007-08-10,2100-12-31,KNT,ja,ja
20021,11265,VILLACHER ALPE,13.672778,46.603611,2117.0,1997-08-31,2100-12-31,KNT,ja,ja
20101,11216,KANZELHOEHE,13.901944,46.677223,1520.0,2001-11-01,2100-12-31,KNT,ja,ja
20105,11275,ARRIACH,13.8525,46.727779,890.0,2005-01-19,2100-12-31,KNT,ja,ja
20202,11235,FERLACH,14.314167,46.531113,459.0,2007-08-03,2100-12-31,KNT,ja,ja
20211,11231,KLAGENFURT-FLUGHAFEN,14.333333,46.650002,447.0,1992-11-26,1996-08-31,KNT,ja,ja
20212,11231,KLAGENFURT-FLUGHAFEN,14.318334,46.648335,450.0,1996-09-01,2100-12-31,KNT,ja,ja
20270,11227,FELDKIRCHEN,14.096945,46.721943,546.0,1995-05-04,2100-12-31,KNT,ja,ja
20408,11224,VOELKERMARKT,14.618611,46.661388,473.1,2008-07-23,2015-10-14,KNT,ja,ja
20412,11232,FEISTRITZ ob BLEIBURG,14.766666,46.558887,532.0,2007-08-10,2100-12-31,KNT,ja,ja
20901,11248,BAD RADKERSBURG,15.978611,46.686668,208.0,1992-08-29,2000-06-08,STMK,ja,ja
20902,11248,BAD RADKERSBURG,15.979445,46.685833,209.8,2001-02-22,2016-04-07,STMK,ja,ja
21300,11234,BAD EISENKAPPEL,14.593333,46.490555,623.0,1992-08-29,2100-12-31,KNT,ja,ja
20411,11257,VOELKERMARKT-GOLDBRUNNHOF,14.639167,46.670834,466.0,2015-10-20,2100-12-31,KNT,nein,nein
3702,11024,JAUERLING/ORF,15.339167,48.334446,955.0,1993-11-23,2100-12-31,NOE,ja,ja
3805,11070,KREMS,15.622222,48.41861,202.0,1996-05-07,2100-12-31,NOE,ja,ja
3811,11075,LANGENLOIS,15.697222,48.4725,207.0,1992-12-14,2100-12-31,NOE,ja,ja
4305,11085,ZWERNDORF,16.831388,48.338055,144.0,1997-03-20,2100-12-31,NOE,ja,ja
4224,11048,GAENSERNDORF-STADT,16.713612,48.337776,163.0,2002-11-13,2100-12-31,NOE,ja,ja
4030,11027,STOCKERAU,16.192499,48.396946,203.0,2002-04-11,2100-12-31,NOE,ja,ja
4115,11042,WIEN/STAMMERSDORF,16.405556,48.305832,191.0,2009-01-02,2100-12-31,WIE,ja,ja
4125,11045,WOLKERSDORF,16.5075,48.38028,185.0,2008-07-23,2100-12-31,NOE,nein,ja
5820,11077,BRUNN AM GEBIRGE,16.27,48.106945,290.6,2008-09-25,2100-12-31,NOE,ja,ja
5870,11081,BADEN,16.235556,48.011391,244.8,1992-08-29,2012-05-31,NOE,ja,ja
5925,11034,WIEN-INNERE STADT,16.366945,48.198334,177.0,1994-05-13,2100-12-31,WIE,ja,ja
5972,11037,GROSS-ENZERSDORF,16.559166,48.199722,154.0,1994-01-12,2100-12-31,NOE,ja,ja
2116,11064,GARS/Kamp,15.7,48.591946,273.0,2016-05-20,2100-12-31,NOE,ja,ja
6415,11152,MATTSEE,13.105556,47.977222,502.0,1999-07-27,2100-12-31,SAL,ja,ja
19720,11255,KOETSCHACH-MAUTHEN,12.998333,46.676388,705.0,1992-08-29,2100-12-31,KNT,ja,ja
6620,11154,GMUNDEN,13.8075,47.914722,424.4,1992-08-29,2016-04-27,OOE,ja,ja
19505,11201,SILLIAN,12.423611,46.746387,1081.4,1997-03-04,2100-12-31,TIR,ja,ja
18906,11285,DEUTSCHLANDSBERG,15.226944,46.821667,354.0,2001-05-01,2100-12-31,STMK,ja,ja
18805,11214,PREITENEGG,14.915,46.938057,1034.0,1993-08-05,2100-12-31,KNT,ja,ja
18705,11229,ST.ANDRAE/LAVANTTAL,14.828055,46.764168,403.0,1993-11-16,2100-12-31,KNT,ja,ja
18622,11237,ST.VEIT/GLAN,14.385555,46.739166,463.0,2007-08-03,2100-12-31,KNT,ja,ja
18502,11225,WEITENSFELD,14.190833,46.849167,704.0,2007-07-25,2100-12-31,KNT,ja,ja
18231,11273,GMUEND,13.534166,46.902779,738.0,2008-07-23,2100-12-31,KNT,ja,ja
18225,11272,SPITTAL/DRAU,13.487223,46.790554,542.0,1997-09-01,2100-12-31,KNT,ja,ja
18121,11261,OBERVELLACH,13.223333,46.92889,809.0,1996-02-28,2015-02-03,KNT,ja,ja
10720,11258,NEUDORF/LANDSEE,16.38139,47.562778,429.0,2015-11-18,2100-12-31,BGL,ja,ja
7905,11194,NEUSIEDL AM SEE,16.857779,47.942501,135.0,1992-11-05,2004-08-01,BGL,ja,ja
9911,11167,HALL/ADMONT,14.490833,47.594444,637.0,2007-07-25,2100-12-31,STMK,ja,ja
9925,11063,ROTTENMANN,14.430278,47.507778,707.0,2009-08-29,2100-12-31,STMK,ja,ja
9105,11327,KIRCHDORF/TIROL,12.463056,47.566113,636.6,2014-08-01,2100-12-31,TIR,ja,ja
9211,11140,LOFER/ORT,12.695278,47.584446,622.0,1999-04-07,2100-12-31,SAL,ja,ja
9406,11371,GOLLING,13.181666,47.59111,490.0,2008-09-30,2100-12-31,SAL,ja,ja
1401,11007,KOLLERSCHLAG,13.839167,48.602779,714.0,2008-06-25,2100-12-31,OOE,ja,ja
1906,11019,ALLENTSTEIG,15.366944,48.690834,599.0,1992-11-05,2100-12-31,NOE,ja,ja
2415,11083,LEISER BERGE,16.371666,48.558887,457.0,1999-09-27,2100-12-31,NOE,ja,ja
3315,11050,REICHENAU/MUEHLKREIS,14.345555,48.459167,689.0,2008-07-31,2100-12-31,OOE,ja,ja
5604,11028,ST.POELTEN/KOPALKASERNE,15.611111,48.180279,285.0,1994-04-13,2005-06-13,NOE,ja,ja
5881,11082,GUMPOLDSKIRCHEN,16.282223,48.040279,219.0,1994-04-14,2018-03-29,NOE,ja,ja
7012,11368,WAIDHOFEN/YBBS-ZENTRUM,14.784445,47.957779,365.1,2001-01-24,2019-06-04,NOE,ja,ja
7505,11382,PUCHBERG/SCHNEEBERG,15.906944,47.790279,583.0,1998-03-23,2100-12-31,NOE,ja,ja
7710,11387,SEIBERSDORF,16.504999,47.976387,185.0,2002-08-27,2100-12-31,NOE,ja,ja
18601,11228,FRIESACH,14.405833,46.958611,640.0,2007-07-25,2100-12-31,KNT,ja,ja
20123,11213,VILLACH-STADT,13.873889,46.618057,493.0,1994-06-15,2100-12-31,KNT,ja,ja
20903,11264,BAD RADKERSBURG,15.993333,46.692223,207.0,2016-04-07,2100-12-31,STMK,ja,ja
21101,11217,LOIBL/TUNNEL,14.249166,46.44389,1097.0,2009-02-16,2100-12-31,KNT,ja,ja
8301,11100,SULZBERG,9.914444,47.521946,1016.0,2008-09-01,2100-12-31,VBG,ja,ja
8805,11328,ACHENKIRCH,11.705277,47.532223,904.0,1998-09-23,2016-10-06,TIR,ja,ja
9016,11130,KUFSTEIN,12.162778,47.575279,490.0,1994-05-25,2100-12-31,TIR,ja,ja
9618,11361,BAD ISCHL,13.647223,47.706112,507.0,2007-07-25,2100-12-31,OOE,ja,ja
9643,11356,BAD AUSSEE,13.758333,47.610554,743.0,2013-02-18,2100-12-31,STMK,ja,ja
10401,11177,MUERZZUSCHLAG,15.672778,47.602222,705.0,2008-09-11,2100-12-31,STMK,ja,ja
12351,11339,HOCHFILZEN,12.621111,47.470276,962.0,2007-11-27,2100-12-31,TIR,ja,ja
12504,11141,BISCHOFSHOFEN,13.221111,47.406666,550.0,1992-08-29,2100-12-31,SAL,ja,ja
15920,11280,MURAU,14.176945,47.111111,816.0,1992-08-29,2100-12-31,STMK,ja,ja
15912,11363,STOLZALPE,14.188334,47.123055,1291.0,2007-08-03,2100-12-31,STMK,ja,ja
15901,11377,OBERWOELZ,14.286667,47.201946,842.1,2007-08-03,2100-12-31,STMK,ja,ja
15712,11399,TAMSWEG,13.808333,47.133057,1025.0,2008-07-09,2100-12-31,SAL,ja,ja
15702,11148,ST.MICHAEL/LUNGAU,13.622778,47.094444,1052.0,2008-06-25,2100-12-31,SAL,ja,ja
12615,11147,RADSTADT,13.456111,47.385277,858.0,1994-12-05,2017-11-09,SAL,ja,ja
12616,11208,RADSTADT-TANDALIER,13.440833,47.380001,835.0,2016-08-08,2100-12-31,SAL,ja,ja
15501,11372,BAD GASTEIN,13.133333,47.110554,1092.0,2009-08-29,2100-12-31,SAL,ja,ja
15411,11343,SONNBLICK (TAWES),12.9575,47.054165,3109.0,1997-08-31,2100-12-31,SAL,ja,ja
15402,11346,RAURIS,12.9925,47.22361,933.8,1993-06-17,2100-12-31,SAL,ja,ja
15344,11200,KALS,12.646389,47.004723,1352.4,2007-08-03,2100-12-31,TIR,ja,ja
15105,11136,KRIMML,12.181945,47.229168,1009.0,1997-06-27,2100-12-31,SAL,ja,ja
15002,11330,MAYRHOFEN,11.851666,47.162498,640.0,2007-09-06,2100-12-31,TIR,ja,ja
14802,11129,BRENNER,11.510834,47.007221,1412.0,2007-11-27,2100-12-31,TIR,ja,ja
14701,11324,NEUSTIFT/MILDERS,11.291945,47.102779,1007.0,2004-11-04,2100-12-31,TIR,nein,ja
14622,11317,ST.LEONHARD/PITZTAL,10.865556,47.027222,1454.4,2007-11-27,2100-12-31,TIR,nein,ja
14603,11309,HAIMING,10.889444,47.259724,659.0,2007-08-20,2100-12-31,TIR,ja,ja
14513,11115,IMST,10.742222,47.236946,773.0,2007-08-20,2100-12-31,TIR,ja,ja
14403,11112,LANDECK,10.563611,47.140278,796.0,1993-12-23,2100-12-31,TIR,ja,ja
14311,11307,LANGEN AM ARLBERG,10.123333,47.131668,1221.0,2007-08-10,2100-12-31,VBG,ja,ja
14308,11124,VALLUGA,10.212778,47.157501,2805.0,2016-12-14,2100-12-31,TIR,nein,nein
14305,11110,GALZIG,10.230278,47.129723,2079.0,1994-02-09,2100-12-31,TIR,ja,ja
14302,11311,ST.ANTON AM ARLBERG,10.266666,47.13139,1304.1,2007-08-03,2100-12-31,TIR,ja,ja
14115,11304,BRAND,9.738334,47.103054,1029.0,2001-06-01,2100-12-31,VBG,ja,ja
14103,11099,BLUDENZ,9.829445,47.147778,571.0,2015-09-15,2100-12-31,VBG,ja,ja
13907,11393,LUTZMANNSBURG,16.645555,47.465279,201.0,2000-06-01,2100-12-31,BGL,ja,ja
13702,11197,BERNSTEIN,16.261389,47.408333,631.0,2007-07-25,2100-12-31,BGL,ja,ja
13640,8989042,KROISEGG,16.042223,47.378613,444.0,2016-06-07,2100-12-31,BGL,ja,ja
13605,11390,HARTBERG,15.978611,47.280556,330.0,1994-10-24,2100-12-31,STMK,ja,ja
13312,11274,LEOBEN,15.086667,47.378334,544.0,2012-12-04,2100-12-31,STMK,ja,ja
13120,11362,KALWANG,14.759722,47.421391,744.0,1994-05-17,2100-12-31,STMK,ja,ja
13116,11166,SECKAU,14.778611,47.270832,872.0,2001-11-08,2100-12-31,STMK,ja,ja
13302,11175,BRUCK/MUR,15.249722,47.405556,482.0,2004-10-28,2100-12-31,STMK,ja,nein
7013,11071,WAIDHOFEN/YBBS,14.809722,47.945557,384.0,2017-03-30,2100-12-31,NOE,ja,ja
7890,11072,NEUSIEDL AM SEE,16.828888,47.949165,117.0,2017-01-20,2100-12-31,BGL,ja,ja
8806,11266,ACHENKIRCH CAMPINGPLATZ,11.706667,47.499443,931.0,2016-10-05,2100-12-31,TIR,ja,ja
19711,11086,KORNAT,12.888889,46.685001,990.0,2017-05-23,2100-12-31,KNT,ja,ja
12720,11267,DACHSTEIN-HUNERKOGEL,13.626389,47.467777,2700.0,2017-06-01,2100-12-31,OOE,ja,ja
12721,11268,DACHSTEIN-SCHLADMING GLETSCHER,13.6325,47.474445,2520.0,2017-11-13,2100-12-31,OOE,nein,nein
12231,11073,MITTERSILL,12.495833,47.279167,783.0,2017-12-01,2100-12-31,SAL,ja,
20220,11278,POERTSCHACH,14.165277,46.630833,450.0,1996-12-10,2100-12-31,KNT,ja,ja
5935,11090,WIEN-DONAUFELD,16.431389,48.257221,160.0,2001-06-15,2100-12-31,WIE,ja,ja
